dataset,seed,status,examples,candidate_passages,feature_count,feature_mode,repeat_count,elapsed_seconds_mean,milliseconds_per_example_mean,milliseconds_per_example_std,microseconds_per_candidate_mean,microseconds_per_candidate_std,examples_per_second_mean,candidate_passages_per_second_mean,ranking_checksum
musique,13,completed,2417,33952,23,dense_hkvm,7,0.705998309721638,0.29209694237552253,0.036078866714246524,20.79401242111328,2.568408955240747,3480.8864686256884,48896.5897322215,0265abd177dd45861021b9c3819e2b1943bda4c4d15c095fa697ecfe6e90d3b6
musique,29,completed,2417,33944,23,dense_hkvm,7,0.7044639502252851,0.2914621225590754,0.029065074716270223,20.75371052985167,2.069593612692232,3468.1868774315735,48706.71715661453,8279a01fbb7cacb44eeac5a804e29dc105675f149a0442fc494a5a2561be36ee
musique,43,completed,2417,33923,23,dense_hkvm,7,0.6790971167917762,0.2809669494380539,0.04964571742391532,20.018781263207153,3.5372372435693573,3688.3417432950123,51766.494397102484,2371c35cb8766bfd2a53f135cca96bcdbb948f868a4d0943f3d4f10f4cafac6a
2wiki,13,completed,12576,125237,23,dense_hkvm,7,2.4942510121701553,0.1983342089829958,0.018830824984730182,19.916246893251635,1.8909464056785674,5092.918883271397,50717.38885052957,54c10cfdbf903baa634bad2032787faf0d7a87deef2f56a99a12fa8b64c4a1aa
2wiki,29,completed,12576,125237,23,dense_hkvm,7,2.6007340720056424,0.20680137341011787,0.019629104893607665,20.76649929338488,1.971107764813993,4879.806343092446,48595.12619194248,ff2e586d89c576244d5a6ff410d3d97caf3b36ab6f0ba0b1ec040f9df46fca1b
2wiki,43,completed,12576,125237,23,dense_hkvm,7,2.723544504925875,0.216566834043088,0.012545180381648886,21.747123493263768,1.259757008548724,4633.646943731651,46143.769266230986,2533a256e534585019cd2d721b629c0ac1908635e7dcd5f3cbbc45a7ac260798
hotpotqa,13,completed,7405,73700,23,dense_hkvm,7,1.4025695795592452,0.1894084509870689,0.025698972556505707,19.03079483798162,2.5821016523870393,5376.132191650597,53507.21708638068,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
hotpotqa,29,completed,7405,73700,23,dense_hkvm,7,1.4458490987308323,0.19525308558147633,0.03242293052728814,19.618033904081848,3.2576906452451655,5271.975362655399,52470.571806577034,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,43,completed,7405,73700,23,dense_hkvm,7,1.596282935401957,0.21556825596245197,0.020354831080191906,21.65919858075925,2.0451495813951293,4681.849843014757,46597.20910603479,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
