dataset,variant,source,base_edges_mean,kept_edges_mean,kept_fraction_actual_mean,all_recall@5,all_recall@10,f1,em,answer_support_rate,latency_seconds,avg_retrieval_tokens
2wiki,prune_keep_025:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,157571.0,43925.0,0.27876322419734595,59.343193384223916,94.0998727735369,74.31864614621686,73.64026717557252,73.64026717557252,0.00020702313497979305,373.9173027989822
2wiki,prune_keep_050:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,157571.0,81931.0,0.5199624296348947,60.591603053435115,97.00222646310432,75.64464602160058,74.71374045801527,74.71374045801527,0.000217401609158597,380.11354961832063
2wiki,prune_keep_075:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,157571.0,122895.0,0.7799341249341567,67.40617048346056,98.96628498727735,78.8129114878245,78.10909669211196,78.10909669211196,0.0002526744304152916,391.95141539440203
2wiki,prune_keep_100:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,157571.0,157571.0,1.0,71.97837150127226,99.6501272264631,79.2991747806942,78.64980916030534,78.64980916030534,0.00025459865590332723,393.9041825699746
musique,prune_keep_025:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,66326.0,17512.0,0.2640291891565902,15.473727761688043,37.93959453868432,35.61485239215288,34.919321472900286,34.919321472900286,0.0003971597827913697,403.80140670252376
musique,prune_keep_050:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,66326.0,33791.0,0.5094683834393752,17.045924700041372,36.1605295821266,37.30843792971126,36.65701282581713,36.65701282581713,0.00045962105662829234,403.53082333471247
musique,prune_keep_075:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,66326.0,50683.0,0.7641498055061363,18.287132809267685,36.36739760033099,38.7179886639468,38.022341745966074,38.022341745966074,0.00046483092301902407,405.1352916839057
musique,prune_keep_100:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,66326.0,66326.0,1.0,18.700868845676457,38.64294580057923,39.9245297898094,39.22217625155151,39.22217625155151,0.000516373290169926,411.1005378568473
hotpotqa,prune_keep_025:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,96600.0,26882.0,0.2782815734989648,55.759621877110064,95.89466576637408,74.48818052944836,74.12559081701554,74.12559081701554,0.00023164772321144128,437.0098582039163
hotpotqa,prune_keep_050:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,96600.0,50140.0,0.5190476190476191,52.545577312626605,96.94800810263335,73.71283462874577,73.31532748143147,73.31532748143147,0.00020410212705546126,435.45914922349766
hotpotqa,prune_keep_075:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,96600.0,75205.0,0.77851966873706,54.13909520594193,97.74476704929101,73.69039220081838,73.30182309250506,73.30182309250506,0.00027261264844928145,432.3486833220797
hotpotqa,prune_keep_100:weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_pruning_curve_20260518,96600.0,96600.0,1.0,55.48953409858204,98.19041188386225,72.95650424917216,72.58609047940581,72.58609047940581,0.00026152887357088216,432.92842673869006
