dataset,method,source,seed_count,all_recall@5,all_recall@10,f1,em,answer_support_rate,latency_seconds,avg_retrieval_tokens
2wiki,bm25,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,56.639631043257,99.25254452926208,71.873124617217,71.31043256997455,71.31043256997455,0.0002484151669123526,424.535941475827
2wiki,contriever,{REMOTE_RUN_ROOT}/p1_contriever_only_dev_full_20260515,3,46.39790076335878,100.0,65.49835760201627,64.71055979643766,64.71055979643766,0.019196435958346567,303.31854325699743
2wiki,colbertv2,{REMOTE_RUN_ROOT}/p1_colbertv2_only_dev_full_20260515,3,64.11418575063614,100.0,77.76259809482275,77.19465648854961,77.19465648854961,0.029770728590417607,382.29699427480915
2wiki,kg_ppr,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,66.17366412213741,98.10750636132316,75.87308092058036,75.35782442748092,75.35782442748092,0.0005133355933708985,392.48807251908397
2wiki,weighted_kg_ppr,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,66.14980916030534,98.10750636132316,75.89402027596628,75.37372773536896,75.37372773536896,0.0005357898020191602,392.4610368956743
2wiki,hyper_rag,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,56.774809160305345,99.6501272264631,70.66540003324354,70.06997455470739,70.06997455470739,0.00013138740131680074,382.90084287531806
2wiki,static_hg,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,70.18924936386769,99.6501272264631,78.09801350168857,77.52862595419847,77.52862595419847,0.0001395078383816299,396.0418256997456
2wiki,weighted_hg_kv,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,71.97837150127226,99.6501272264631,79.2991747806942,78.64980916030534,78.64980916030534,0.00015711588866945393,393.89917302798983
musique,bm25,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,18.700868845676457,41.745966073645015,46.04518976498095,45.34546959040132,45.34546959040132,0.0005899430246029058,475.0368225072404
musique,contriever,{REMOTE_RUN_ROOT}/p1_contriever_only_dev_full_20260515,3,28.465039304923458,54.19942076954903,55.56545706585863,54.90277203144394,54.90277203144394,0.03659273045873457,415.9594538684319
musique,colbertv2,{REMOTE_RUN_ROOT}/p1_colbertv2_only_dev_full_20260515,3,27.678940835746793,49.31733553992553,58.309321991876935,57.75755068266446,57.75755068266446,0.05318966039331583,460.13032685146874
musique,kg_ppr,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,13.984278030616467,32.47827885808854,36.33210580226749,35.53992552751345,35.53992552751345,0.001216182134628225,426.50351675630947
musique,weighted_kg_ppr,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,14.067025237898221,32.726520479933804,36.378254086934604,35.581299131154324,35.581299131154324,0.0012594509370565422,426.69549027720313
musique,hyper_rag,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,12.78444352503103,31.73355399255275,35.631962302834644,34.712453454695904,34.712453454695904,0.00029080832544883757,428.3711212246587
musique,static_hg,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,16.756309474555234,36.73976003309888,37.7136378912882,36.905254447662394,36.905254447662394,0.00029658097659478254,415.48696731485313
musique,weighted_hg_kv,{REMOTE_RUN_ROOT}/p2_deepseek_dev_full_20260516_factbridge,3,18.700868845676457,38.64294580057923,39.9245297898094,39.22217625155151,39.22217625155151,0.0003298828797678202,411.095159288374
hotpotqa,bm25,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_structured_3seed_20260518,3,67.73801485482782,99.85145172180958,81.83482341404255,81.64753544902094,81.64753544902094,0.00048224644979343387,483.997434166104
hotpotqa,contriever,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_contriever_full_20260518,3,71.3301823092505,100.0,79.93030391338371,79.72991222147198,79.72991222147198,0.02691766245604222,400.7443619176232
hotpotqa,colbertv2,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_colbertv2_full_20260518,3,68.19716407832546,100.0,79.84400128960641,79.63538149898717,79.63538149898717,0.06168876522269512,438.21404456448346
hotpotqa,kg_ppr,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_structured_3seed_20260518,3,61.30992572586091,95.38149898717083,73.64549120379752,73.31532748143147,73.31532748143147,0.0007342764710424325,439.83659689399053
hotpotqa,weighted_kg_ppr,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_structured_3seed_20260518,3,61.350438892640106,95.38149898717083,73.69539605923919,73.36934503713707,73.36934503713707,0.0007115213736489704,439.70222822417287
hotpotqa,hyper_rag,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_structured_3seed_20260518,3,57.704253882511814,98.20391627278866,71.07412325706801,70.72248480756245,70.72248480756245,0.0002482857340242485,436.5039837947333
hotpotqa,static_hg,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_structured_3seed_20260518,3,60.17555705604322,98.19041188386225,73.33969964182063,73.01823092505064,73.01823092505064,0.0002608127432696952,434.99756920999323
hotpotqa,weighted_hg_kv,{REMOTE_RUN_ROOT}/icde2027_hotpotqa_structured_3seed_20260518,3,55.48953409858204,98.19041188386225,72.95650424917216,72.58609047940581,72.58609047940581,0.0002639086180557955,432.94152599594867
